TYPE,Cr,Zr,Y,La,Ti
m-Na-Al-1,24.32,393.45,12.48,21.9,2318.362298
m-Na-Al-1,13.92,810.61,11.41,21.31,3656.272934
m-Na-Al-1,13.53,329.25,12,25.9,2836.286899
m-Na-Al-1,17.1,726.52,10.78,21.35,2991.45441
m-Na-Al-1,18.62,256.55,11.27,26.89,3044.15818
m-Na-Al-1,10.7,568.56,14.75,17.09,2745.971532
m-Na-Al-1,15.97,237.92,8.24,20.5,1929.474252
m-Na-Al-1,15.42,387,8.28,20.84,3372.905861
m-Na-Al-1,17.13,385.86,11.19,19.71,2320.81363
m-Na-Al-1,18.34,551.99,11.6,19.64,2870.517657
m-Na-Al-1,29.13,457.5,12.34,23.98,3182.282436
m-Na-Al-1,27.13,644.19,9.99,17.38,6003.180993
m-Na-Al-1,10.28,165.54,8.55,20.85,1996.475359
m-Na-Al-1,22.44,296.28,11.17,26.29,2917.834068
m-Na-Al-1,36.16,573.69,13.81,24.62,4635.630114
m-Na-Al-1,19.71,402.12,11.43,24.53,3166.386968
m-Na-Al-1,73.22,522.87,18.03,34.21,4460.364711
m-Na-Al-1,27.11,667.25,10.14,17.36,5164.022225
m-Na-Al-3,123.28,189.99,16.68,25.26,1429.343818
m-Na-Al-3,135.9,210.09,17.49,26.67,1434.076273
m-Na-Al-3,166.58,202.03,17.5,26.34,1478.336428
m-Na-Al-3,113.16,209.02,16.83,24.95,1419.240528
m-Na-Al-3,134.76,197.46,15.67,23.89,1463.847199
m-Na-Al-3,139.83,198.49,17.65,26.66,1497.493854
m-Na-Al-3,129.46,187.99,16.97,24.75,1454.479542
m-Na-Al-3,146.27,210.1,18.26,27.13,1521.182045
Potash-1,12.29,152.68,12.07,15.45,1105.747678
Potash-1,12.99,57.55,9.43,14.42,1028.106946
Potash-1,15.88,57.33,9.24,13.16,1014.036475
Potash-1,35.05,70.28,32.96,12.15,1154.018814
Potash-1,19.58,69.83,18.16,9.56,738.9549952
Potash-1,27.38,71.44,18.18,9.62,764.0446357
Potash-1,35.33,78.85,22.25,17.08,1107.578054
Potash-1,5.01,85.02,20.46,16.45,1069.187641
Potash-1,31.85,75.07,24.57,14.36,959.4746507
,,,,,
Potash-1,36.93,84.67,24.49,15.73,1233.703271
Potash-1,28.54,78.47,19.89,10.83,894.0588749
Potash-1,25.28,72.97,14.79,9.19,920.735071
Potash-1,6.06,81.2,7.96,10.4,446.8696941
Potash-1,2.87,16.45,4.67,4.08,207.2600902
Potash-1,2.11,20.05,3.29,4.39,258.1601212
Potash-1,5.52,23.8,4.03,3.62,340.530853
Potash-1,3.48,19.82,3.49,3.42,209.3229413
Potash-1,4.83,22.22,4.44,4.08,218.8225758
Potash-1,7.98,114.92,6.6,9.32,675.8853379
Potash-1,21.87,222.34,8.88,12.36,3700.296334
Potash-1,3.42,16.86,9.79,3.62,169.1852139
Potash-1,25.63,172.85,10.29,12.45,3538.755909
Potash-1,22.01,158.37,9.9,12.67,3564.13505
Potash-1,9.48,85.51,6.6,10.65,671.4831799
Potash-1,3.25,20.37,7.06,3.27,225.7967826
Potash-1,3.69,23.17,3.43,3.76,272.6975011
Potash-1,3.21,15.96,5.07,2.98,176.2264366
Potash-1,5.7,22.38,5.93,3.98,243.678607
Potash-1,5.59,40.25,3.08,3.5,398.3651451
Potash-1,11.19,92.65,6.41,7.94,623.6492676
Potash-1,8.35,86.09,6.95,8.39,584.7793
Potash-1,4.37,71.59,5.81,7.51,530.2131848
Potash-1,13.18,86.39,7.03,8.9,630.7044987
Potash-1,25.88,146.06,11.15,15.95,752.5289875
Potash-1,4.54,30.02,2.95,3.81,240.0357243
Potash-1,6.47,31.08,3.29,4.87,372.4565249
Potash-1,9.11,27.91,3.32,4.59,399.6861803
Potash-1,5.41,27.63,4.2,4.21,369.8493399
Potash-1,4.73,24.44,3.8,4.78,330.7933094
Potash-1,2.84,27.96,3.62,4.62,367.2546623
Potash-1,2.94,26.75,3.79,4.82,372.2913365
Potash-1,5.91,26.04,4.54,4.57,372.890009
Potash-1,3.21,25.48,3.77,4.85,341.4526898
Potash-1,8.57,30.21,6.62,3.48,509.9624909
Potash-1,11.07,30.57,5.41,6.26,377.8390673
Potash-1,9.31,35.43,4.88,7.15,495.6268599
Potash-1,9.08,29.39,6.36,5.92,348.3190577
Potash-1,1.6,12.77,3.99,4.52,262.5912689
Potash-1,6.28,27.4,3.81,1.82,281.6034863
Potash-1,3.71,27.87,3.38,4.11,292.8659458
Potash-1,4.65,23.83,3.25,3.55,282.9360546
Potash-1,7.24,24.98,3.91,4.05,267.507702
Potash-1,7.51,88.55,7.34,10.71,827.7419065
Potash-1,6.7,71.38,4.94,9.08,637.9393224
Potash-1,7.97,69.94,3.22,6.67,394.6952328
Potash-1,3.3,63.6,3.44,7.74,392.1712896
Potash-1,5.14,61.74,3.45,5.71,362.6981151
Potash-1,5.96,57.9,3.06,7.3,393.2484337
Potash-1,9.13,85.49,7.82,12.51,303.7455956
Potash-1,11.19,114.95,10.63,14.45,886.0725469
Potash-1,6.12,73.4,6.51,9.08,267.0868496
Potash-1,0,108.14,8.81,12.29,802.9659087
Potash-1,16.29,140.32,12.91,18.62,1344.916359
Potash-1,6.96,69.75,7.25,11.95,396.4943735
Potash-1,14.12,126.34,9.56,14.98,533.2945708
Potash-1,24.31,130.72,19.97,21.06,1373.077307
Potash-1,19.39,129.64,6.98,15.07,1145.42226
Potash-1,8.31,25.11,10.44,4.96,268.612943
Potash-1,11.58,64.51,6.68,16.12,775.339431
Potash-1,8.61,55.49,5.66,16.18,717.8353063
Potash-1,1.37,18.54,2.29,3.59,440.9919601
Potash-3,178.72,247.5,13.75,13.29,1522.018994
Potash-3,98.74,77.61,7.29,10.97,617.9510117
Potash-3,86.33,75.69,7.02,10.45,613.0490475
Potash-3,128.58,155.18,11.43,13.35,1105.755607
Potash-3,135.68,186.14,13.12,13.08,1345.470166
Potash-3,191.31,150.91,13.75,30.86,1622.805293
Potash-3,196.48,145.54,13.46,29.2,1500.918998
Potash-3,177.44,26.12,14.75,13.24,1053.986923
Potash-3,166.87,187.39,12.72,13.08,1319.890602
Potash-3,150.33,188.68,12.58,12.99,1353.5391
Potash-3,131.56,188.98,12.14,13.22,1304.256325
Potash-3,162.56,183.33,12.24,12.82,1304.296259
Potash-3,155.9,187.17,12.1,12.91,1356.524062
Potash-3,18.33,128.3,11.78,15.08,1114.303599
Potash-3,80.41,123.77,10.18,14.05,803.1555261
Potash-3,78.32,129.82,10.07,13.73,847.6302644
Potash-3,25.94,173.62,15.34,35.93,1706.429841
Potash-3,132.85,167.5,11.88,13.46,1031.859101
Potash-3,126.46,137.02,11.85,14.34,1048.130664
